_H:	|batch	|epoch	$train_mode	%avg_sse	%cnt_err	%avg_norm_err	%avg_cos_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%V1m_Ctxt_Fm_V1m_netrel	%V1m_Fm_V2m_netrel	%V1m_Ctxt_Fm_V2m_netrel	%V2m_Fm_V1m_netrel	%V2m_Ctxt_Fm_V1m_netrel	%V2m_Ctxt_Fm_V2m_netrel	%V1m_netmax	%V2m_netmax
_D:	0	138	"TEST"	11.1697	0	0.0551855	0.8502	0	50	0.02	0.02	0	1	0	1	0	0	1.05209	0.862871
_D:	0	139	"TEST"	11.1664	0	0.0555784	0.84997	0	50	0.02	0.02	0	1	0	1	0	0	1.04727	0.863848
_D:	0	140	"TEST"	12.2457	0	0.0584521	0.829947	0	50	0.01	0.02	0	1	0	1	0	0	1.03494	0.853556
_D:	0	141	"TEST"	11.7619	0	0.0572963	0.840002	0	50	0.02	0.02	0	1	0	1	0	0	1.0442	0.861567
_D:	0	142	"TEST"	12.0182	0	0.0584384	0.836387	0	50	0.02	0.02	0	1	0	1	0	0	1.02679	0.851243
_D:	0	143	"TEST"	11.2269	0	0.0563094	0.847801	0	50	0.02	0.02	0	1	0	1	0	0	1.0453	0.86084
_D:	0	144	"TEST"	11.6304	0	0.0576754	0.843457	0	50	0.02	0.02	0	1	0	1	0	0	1.03454	0.856684
_D:	0	145	"TEST"	11.4033	0	0.0570952	0.846273	0	50	0.02	0.01	0	1	0	1	0	0	1.04436	0.861488
_D:	0	146	"TEST"	11.8626	0	0.0579359	0.837739	0	50	0.03	0.02	0	1	0	1	0	0	1.0379	0.854951
_D:	0	147	"TEST"	11.6948	0	0.0583333	0.842277	0	50	0.02	0.02	0	1	0	1	0	0	1.01656	0.85123
_D:	0	148	"TEST"	11.8033	0	0.0585252	0.84086	0	50	0.02	0.02	0	1	0	1	0	0	1.02982	0.85793
_D:	0	149	"TEST"	11.5592	0	0.057118	0.84257	0	50	0.02	0.02	0	1	0	1	0	0	1.03855	0.856082
_D:	0	150	"TEST"	12.1898	0	0.0594161	0.834976	0	50	0.02	0.02	0	1	0	1	0	0	1.02662	0.85221
_D:	0	151	"TEST"	11.9312	0	0.0575795	0.837682	0	50	0.01	0.02	0	1	0	1	0	0	1.03402	0.855498
_D:	0	152	"TEST"	12.6997	0	0.0607456	0.82677	0	50	0.02	0.02	0	1	0	1	0	0	1.03573	0.85662
_D:	0	153	"TEST"	11.5797	0	0.056282	0.841609	0	50	0.02	0.02	0	1	0	1	0	0	1.04539	0.863059
_D:	0	154	"TEST"	11.5354	0	0.0570084	0.845205	0	50	0.01	0.02	0	1	0	1	0	0	1.0513	0.867201
_D:	0	155	"TEST"	11.9828	0	0.058315	0.836508	0	50	0.02	0.02	0	1	0	1	0	0	1.04136	0.856734
_D:	0	156	"TEST"	11.2797	0	0.0565744	0.849181	0	50	0.02	0.02	0	1	0	1	0	0	1.03959	0.85968
_D:	0	157	"TEST"	11.5691	0	0.0576207	0.844692	0	50	0.02	0.01	0	1	0	1	0	0	1.0582	0.864501
_D:	0	158	"TEST"	11.5757	0	0.0571043	0.844424	0	50	0.02	0.02	0	1	0	1	0	0	1.04306	0.867727
_D:	0	159	"TEST"	11.532	0	0.0580501	0.846265	0	50	0.02	0.02	0	1	0	1	0	0	1.03194	0.857767
_D:	0	160	"TEST"	11.3184	0	0.0564876	0.848129	0	50	0.01	0.02	0	1	0	1	0	0	1.04942	0.865264
_D:	0	161	"TEST"	12.4381	0	0.0603527	0.831406	0	50	0.02	0.02	0	1	0	1	0	0	1.0249	0.852917
_D:	0	162	"TEST"	11.7395	0	0.0585754	0.844346	0	50	0.02	0.02	0	1	0	1	0	0	1.02118	0.850402
_D:	0	163	"TEST"	11.4873	0	0.0569992	0.843586	0	50	0.02	0.02	0	1	0	1	0	0	1.03871	0.860399
_D:	0	164	"TEST"	11.3473	0	0.0568987	0.847428	0	50	0.02	0.02	0	1	0	1	0	0	1.04806	0.865633
_D:	0	165	"TEST"	11.5983	0	0.0568942	0.843368	0	50	0.02	0.02	0	1	0	1	0	0	1.0496	0.862853
_D:	0	166	"TEST"	12.6884	0	0.0611203	0.826716	0	50	0.02	0.02	0	1	0	1	0	0	1.03252	0.851384
_D:	0	167	"TEST"	11.2172	0	0.0562363	0.84944	0	50	0.02	0.02	0	1	0	1	0	0	1.05663	0.867878
_D:	0	168	"TEST"	11.99	0	0.0584429	0.837313	0	50	0.02	0.02	0	1	0	1	0	0	1.04431	0.860932
_D:	0	169	"TEST"	11.8069	0	0.0586029	0.842578	0	50	0.02	0.02	0	1	0	1	0	0	1.02571	0.856998
_D:	0	170	"TEST"	11.7209	0	0.0581323	0.840519	0	50	0.02	0.02	0	1	0	1	0	0	1.04261	0.858592
_D:	0	171	"TEST"	11.356	0	0.0562134	0.847189	0	50	0.02	0.02	0	1	0	1	0	0	1.05353	0.86765
_D:	0	172	"TEST"	11.3824	0	0.0564328	0.845976	0	50	0.02	0.02	0	1	0	1	0	0	1.06173	0.865434
_D:	0	173	"TEST"	12.2876	0	0.0599598	0.831137	0	50	0.03	0.03	0	1	0	1	0	0	1.02289	0.847062
_D:	0	174	"TEST"	11.5426	0	0.0577622	0.843347	0	50	0.01	0.02	0	1	0	1	0	0	1.04512	0.862714
_D:	0	175	"TEST"	11.4781	0	0.0563916	0.844613	0	50	0.02	0.02	0	1	0	1	0	0	1.0452	0.864746
_D:	0	176	"TEST"	11.467	0	0.0565378	0.845168	0	50	0.02	0.02	0	1	0	1	0	0	1.03679	0.857489
