_H:	|batch	|epoch	$train_mode	%avg_sse	%cnt_err	%avg_norm_err	%avg_cos_err	%avg_cos_err_prv	%avg_cos_err_vs_prv	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%V1m_Ctxt_Fm_V1m_netrel	%V1m_Fm_V2m_netrel	%V1m_Ctxt_Fm_V2m_netrel	%V2m_Fm_V1m_netrel	%V2m_Ctxt_Fm_V1m_netrel	%V2m_Ctxt_Fm_V2m_netrel	%V1m_netmax	%V2m_netmax
_D:	0	132	"TRAIN"	11.78	380	0.0577668	0.84116	0.63188	0.20928	0	50	62.23	85.61	0	1	0	1	0	0	1.03979	0.860642
_D:	0	133	"TRAIN"	12.1745	380	0.0592928	0.836287	0.639273	0.197014	0	50	63.89	88.86	0	1	0	1	0	0	1.02506	0.854081
_D:	0	134	"TRAIN"	11.6292	380	0.0573054	0.843233	0.639385	0.203848	0	50	64.28	88.44	0	1	0	1	0	0	1.04983	0.866867
_D:	0	135	"TRAIN"	11.5817	380	0.0573328	0.843034	0.632913	0.210121	0	50	63.29	87.44	0	1	0	1	0	0	1.04207	0.856069
_D:	0	136	"TRAIN"	11.1532	380	0.0562043	0.851057	0.622482	0.228575	0	50	65.89	91.35	0	1	0	1	0	0	1.03972	0.856892
_D:	0	137	"TRAIN"	11.0473	380	0.0546372	0.850072	0.624483	0.225589	0	50	61.79	85.66	0	1	0	1	0	0	1.05426	0.867001
_D:	0	138	"TRAIN"	11.1697	380	0.0551855	0.8502	0.625676	0.224524	0	50	62.6	85.61	0	1	0	1	0	0	1.05209	0.862871
_D:	0	139	"TRAIN"	11.1664	380	0.0555784	0.84997	0.643525	0.206444	0	50	62.35	85.71	0	1	0	1	0	0	1.04727	0.863848
_D:	0	140	"TRAIN"	12.2457	380	0.0584521	0.829947	0.642457	0.18749	0	50	62.2	85.21	0	1	0	1	0	0	1.03494	0.853556
_D:	0	141	"TRAIN"	11.7619	380	0.0572963	0.840002	0.625715	0.214286	0	50	62.93	85.37	0	1	0	1	0	0	1.0442	0.861567
_D:	0	142	"TRAIN"	12.0182	380	0.0584384	0.836387	0.64362	0.192767	0	50	62.25	85.32	0	1	0	1	0	0	1.02679	0.851243
_D:	0	143	"TRAIN"	11.2269	380	0.0563094	0.847801	0.625285	0.222517	0	50	62.26	85.44	0	1	0	1	0	0	1.0453	0.86084
_D:	0	144	"TRAIN"	11.6304	380	0.0576754	0.843457	0.619257	0.224201	0	50	62.6	85.86	0	1	0	1	0	0	1.03454	0.856684
_D:	0	145	"TRAIN"	11.4033	380	0.0570952	0.846273	0.616564	0.229709	0	50	63.24	86.47	0	1	0	1	0	0	1.04436	0.861488
_D:	0	146	"TRAIN"	11.8626	380	0.0579359	0.837739	0.610566	0.227173	0	50	62.09	85.14	0	1	0	1	0	0	1.0379	0.854951
_D:	0	147	"TRAIN"	11.6948	380	0.0583333	0.842277	0.622685	0.219591	0	50	63.38	85.75	0	1	0	1	0	0	1.01656	0.85123
_D:	0	148	"TRAIN"	11.8033	380	0.0585252	0.84086	0.646972	0.193889	0	50	63.15	85.63	0	1	0	1	0	0	1.02982	0.85793
_D:	0	149	"TRAIN"	11.5592	380	0.057118	0.84257	0.626633	0.215938	0	50	63.4	85.54	0	1	0	1	0	0	1.03855	0.856082
_D:	0	150	"TRAIN"	12.1898	380	0.0594161	0.834976	0.615521	0.219455	0	50	63.04	85.96	0	1	0	1	0	0	1.02662	0.85221
